ISO,Country,Emp,EmpFTI,Unemp,EarnQual,LabMarkSec,JobStrain,LongHours,LowIncome,GenderIneq,EmplGap,YEmp,YEmpFTI,YUnemp,YEarnQual,YLabMarkSec,YJobStrain,YLongHours,YLowIncome,YGenderIneq,YEmplGap,evoEmp,evoEmpFTI,evoUnemp,evoEarnQual,evoLabMarkSec,evoJobStrain,evoLongHours,evoLowIncome,evoGenderIneq,evoEmplGap
IRL,Ireland,63.1031726,55.32476067,9.987165413,17.552,4.98714,33.71007,4.462531419,9.22508752,38.7313664,27.55859,2015,2015,2015,2013,2013,2015,2013,2013,2014,2015,down,down,up,stable,up,up,stable,stable,down,stable
POL,Poland,62.9333922,60.91119832,7.596852644,7.24451,8.85717,46.21572,5.350648903,10.36459667,35.8913511,31.73553,2015,2015,2015,2012,2013,2015,2013,2013,2014,2015,up,up,down,stable,up,down,down,stable,stable,down
SVK,Slovak Republic,62.724902,60.74244697,11.53866666,8.29442,10.7387,47.06715,2.348951106,7.918660959,32.56610632,35.30556,2015,2015,2015,2014,2013,2015,2013,2013,2014,2015,stable,stable,stable,stable,up,stable,stable,up,stable,stable
CHL,Chile,62.44164485,56.06304817,6.464094869,6.45305,8.05619,,8.558438564,14.8,49.86004233,28.46356,2015,2015,2015,2013,2011,,2013,2013,2014,2015,up,,stable,stable,stable,,stable,,,down
BEL,Belgium,61.79686312,56.23552765,8.563655331,27.2332,3.6232,39.31205,5.405829944,9.364800626,33.32588971,30.59351,2015,2015,2015,2013,2013,2015,2013,2013,2014,2015,stable,stable,stable,stable,stable,stable,stable,stable,down,down
MEX,Mexico,60.5677638,53.66678045,4.522169129,3.99415,5.23417,39.39304961,14.54339917,13.8953014,59.37598944,41.41233,2015,2015,2015,2014,2013,2005,2014,2014,2014,2015,stable,stable,stable,stable,stable,,stable,stable,,stable
ESP,Spain,58.71683615,53.91190324,22.17950984,16.5738,26.6465,52.59955,3.910897653,16.47114608,37.41583228,27.62888,2015,2015,2015,2012,2013,2015,2013,2013,2014,2015,down,down,up,up,up,stable,stable,up,,stable
ITA,Italy,57.12789531,51.59857666,12.09871164,18.0078,11.8354,46.60004,3.8975518,13.36497811,45.25959194,34.24881,2015,2015,2015,2012,2013,2015,2013,2013,2014,2015,stable,stable,up,stable,up,down,stable,up,,down
GRC,Greece,50.77831886,47.65287394,25.11559339,10.1671,32.0308,64.37124,11.24082685,16.1190022,51.67474151,38.08091,2015,2015,2015,2013,2013,2015,2013,2013,2014,2015,down,down,up,stable,up,stable,stable,up,,stable
TUR,Turkey,50.19483918,47.16563052,10.50775984,5.61265,9.77411,76.21317,23.26420241,13.1300189,,47.56247,2015,2015,2015,2010,2013,2010,2013,2013,,2015,up,up,stable,stable,stable,stable,down,stable,,down
OECD,OECD,66.35763697,60.37296785,6.972819207,16.51897235,6.450748824,41.36723318,5.60278184,10.62728743,38.99729543,25.37262509,2015,2015,2015,2013,2013,2015,2015,2013,2014,2015,stable,stable,stable,stable,up,,stable,stable,stable,stable
COL,Colombia,67.62983402,60.44076654,9.191795551,1.956726,11.0353305,,18.87563848,,38.15400302,34.33894,2015,2015,2015,2013,2013,,2015,,2014,2015,up,up,down,,,,,,,
CRI,Costa Rica,60.68945364,53.33832214,9.820065498,3.019714,7.247772897,,16.56509323,,,42.0646,2015,2015,2015,2013,2013,,2015,,,2015,stable,,up,,,,,,,
LTU,Lithuania,67.22460611,64.69718232,9.316171636,,,,0.363243104,11.86977688,28.9091289,18.79116,2015,2015,2015,,,,2015,2013,2014,2015,up,stable,up,,,,stable,up,stable,stable
ARG,Argentina,61.7,,,3.695061,7.470606811,,8.104149,,49.43959415,,2014,,,2013,2013,,2015,,2014,,stable,,,,,,,,stable,
BRA,Brazil,67.46389064,60.7984349,7.070504931,2.277519,6.56200143,,5.179402172,,49.23530519,37.20329,2014,2014,2014,2013,2013,,2015,,2014,2015,stable,stable,stable,stable,,,down,,down,stable
CHN,China,75.08598936,,2.949935435,2.780168,5.81593,,5.802462,,,31.95655,2010,,2010,2013,2013,,2015,,,2015,down,,stable,,,,,,,
IND,India,53.30811132,,3.718345022,1.099238,3.6,,13.60186,,,50.53143,2011-12,,2011-12,2013,2013,,2015,,,2015,down,,stable,stable,,,,,,up
IDN,Indonesia,64.61100277,,6.424155725,1.2,8.19,,14.3,,,42.39835,2013,,2013,2013,2013,,2015,,,2015,up,,down,,,,,,,stable
RUS,Russia,69.29678701,,5.601255136,4.115801,5.13894628,,3.931695,,,35.363,2015,,2015,2013,2013,,2015,,,2015,stable,,stable,stable,,,,,,
SAU,Saudi Arabia,52.5,,5.7,,,,,,,,2015,,2015,,,,,,,,up,,stable,,,,,,,
ZAF,South Africa,43.68206692,41.38148616,25.34510264,1.898736,22.63668213,,11.69408626,,,51.93679,2015,2015,2015,2013,2013,,2015,,,2015,stable,stable,up,stable,,,,,,
